,Name,time,hazard,removed,observed,censored,entrance,at_risk,Smooth Haz,Smooth2 Haz
8,AI Kallicharran,,0.02197802197802198,3.0,2.0,1.0,0.0,91.0,0.021624059382626144,0.023289999465176025
9,AI Kallicharran,,0.03409090909090909,3.0,3.0,0.0,0.0,88.0,0.024720034614824287,0.023352712560062005
10,AI Kallicharran,,0.047058823529411764,4.0,4.0,0.0,0.0,85.0,0.02636477145692955,0.02343303013931147
11,AI Kallicharran,,0.0,1.0,0.0,1.0,0.0,81.0,0.021536186232400337,0.02325263401479688
12,AI Kallicharran,,0.0375,4.0,3.0,1.0,0.0,80.0,0.023233979101670285,0.023255865571058416
13,AI Kallicharran,,0.02631578947368421,3.0,2.0,1.0,0.0,76.0,0.024988365066582564,0.023145775545854324
14,AI Kallicharran,,0.0273972602739726,2.0,2.0,0.0,0.0,73.0,0.02680324709925044,0.022950772620458137
15,AI Kallicharran,,0.028169014084507043,2.0,2.0,0.0,0.0,71.0,0.023613454435773566,0.02277435932330611
16,AI Kallicharran,,0.014492753623188406,1.0,1.0,0.0,0.0,69.0,0.023613454435773566,0.022441885006295313
17,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.023421442146987083,0.022370132443743477
18,AI Kallicharran,,0.058823529411764705,4.0,4.0,0.0,0.0,68.0,0.023221641947186886,0.022298379881191644
19,AI Kallicharran,,0.03125,2.0,2.0,0.0,0.0,64.0,0.023376701312772568,0.021900735188934737
20,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.020899921127014054,0.021455873171067157
21,AI Kallicharran,,0.03225806451612903,2.0,2.0,0.0,0.0,62.0,0.021912066876001907,0.02133110157723165
22,AI Kallicharran,,0.03333333333333333,2.0,2.0,0.0,0.0,60.0,0.019938382665475592,0.02109517794702545
23,AI Kallicharran,,0.034482758620689655,2.0,2.0,0.0,0.0,58.0,0.018553341114229058,0.02067458210998638
24,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.019216643205072603,0.02006294605898228
25,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.017734063516414336,0.019619193832371692
26,AI Kallicharran,,0.017857142857142856,1.0,1.0,0.0,0.0,56.0,0.02026076069414126,0.019175441605761106
27,AI Kallicharran,,0.01818181818181818,1.0,1.0,0.0,0.0,55.0,0.02026076069414126,0.01890008575208625
